type,part_of_speech,source_section,line,english,japanese,explanation,example_1_en,example_1_ja,example_2_en,example_2_ja,review_status
word,function,beginnerWords,23,I,私,,I live in Japan.,私は日本に住んでいます。,I need some help.,ちょっと手伝ってほしいです。,reviewed
word,function,beginnerWords,24,you,あなた,,You are welcome.,どういたしまして。,Do you have a minute?,少し時間がありますか。,reviewed
word,function,beginnerWords,25,he,彼,,He works near here.,彼はこの近くで働いています。,He is my friend.,彼は私の友だちです。,reviewed
word,function,beginnerWords,26,she,彼女,,She speaks English well.,彼女は英語を上手に話します。,She is at home now.,彼女は今、家にいます。,reviewed
word,function,beginnerWords,27,it,それ,,It is very useful.,それはとても役に立ちます。,I found it yesterday.,私は昨日それを見つけました。,reviewed
word,function,beginnerWords,28,we,私たち,,We can start now.,私たちは今始められます。,We went there together.,私たちは一緒にそこへ行きました。,reviewed
word,function,beginnerWords,29,they,彼ら,,They are waiting outside.,彼らは外で待っています。,They helped me yesterday.,彼らは昨日私を助けてくれました。,reviewed
word,function,beginnerWords,30,this,これ,,This is my bag.,これは私のかばんです。,I want this one.,私はこれが欲しいです。,reviewed
word,function,beginnerWords,31,that,あれ,,That is my seat.,あれは私の席です。,I know that place.,私はあの場所を知っています。,reviewed
word,function,beginnerWords,32,these,これら,,These are my shoes.,これらは私の靴です。,These look good.,これらは良さそうです。,reviewed
word,function,beginnerWords,33,those,あれら,,Those are my books.,あれらは私の本です。,Who are those people?,あの人たちは誰ですか。,reviewed
word,function,beginnerWords,34,here,ここ,,Please come here.,ここに来てください。,You can sit here.,ここに座れます。,reviewed
word,function,beginnerWords,35,there,そこ,,My bag is over there.,私のかばんはあそこにあります。,Let's go there tomorrow.,明日そこへ行きましょう。,reviewed
word,function,beginnerWords,36,who,だれ,,Who is that person?,あの人は誰ですか。,Who called you?,誰があなたに電話しましたか。,reviewed
word,function,beginnerWords,37,what,何,,What is your name?,あなたの名前は何ですか。,What do you need?,何が必要ですか。,reviewed
word,function,beginnerWords,38,when,いつ,,When will you arrive?,いつ到着しますか。,When is the meeting?,会議はいつですか。,reviewed
word,function,beginnerWords,39,where,どこ,,Where is the station?,駅はどこですか。,Where do you work?,どこで働いていますか。,reviewed
word,function,beginnerWords,40,why,なぜ,,Why are you late?,なぜ遅れたのですか。,Why did you choose this?,なぜこれを選んだのですか。,reviewed
word,function,beginnerWords,41,how,どうやって,,How are you today?,今日は元気ですか。,How do I use this?,これはどう使いますか。,reviewed
word,function,beginnerWords,42,yes,はい,,"Yes, I understand.",はい、分かります。,"Yes, that's right.",はい、その通りです。,reviewed
word,function,beginnerWords,43,no,いいえ,,"No, thank you.",いいえ、結構です。,"No, I don't need it.",いいえ、それは必要ありません。,reviewed
word,function,beginnerWords,44,not,〜ない,,I am not ready yet.,私はまだ準備ができていません。,This is not mine.,これは私のものではありません。,reviewed
word,function,beginnerWords,45,all,すべて,,All the seats are taken.,席はすべて埋まっています。,I read all the pages.,私はページを全部読みました。,reviewed
word,function,beginnerWords,46,some,いくつかの,,I need some time.,少し時間が必要です。,Would you like some water?,水を少し飲みますか。,reviewed
word,function,beginnerWords,47,any,いくつかの / どんな〜でも,,Do you have any questions?,何か質問はありますか。,I don't have any cash.,私は現金を持っていません。,reviewed
word,function,beginnerWords,48,many,たくさんの,,There are many people here.,ここにはたくさんの人がいます。,I don't have many bags.,私はたくさんのかばんを持っていません。,reviewed
word,function,beginnerWords,49,much,多くの,,I don't have much time.,私はあまり時間がありません。,How much water do you need?,どれくらい水が必要ですか。,reviewed
word,function,beginnerWords,50,few,少しの,,Only a few seats are open.,空いている席は少ししかありません。,I know a few people there.,私はそこに数人知り合いがいます。,reviewed
word,function,beginnerWords,51,more,より多くの,,I need more time.,もっと時間が必要です。,Do you want more coffee?,もっとコーヒーが欲しいですか。,reviewed
